UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	ClassId	ClassVariant	GearScore	RoleId	Activity1	Activity2	LastOnline	ParsedLastOnline
1641	1641	Rip	40		1	7310002	6154					
2655	2655	floyd	42		1	7310002	8114					
10296	10296	Jogi	42		1	7310002	8328	4	70	320	1760033895	2025-10-09 18:18:15
20525	20525	Lightless	37		12	7400002	5356	1	0	150	1760012191	2025-10-09 12:16:31
20765	20765	Zolo	38		11	7390002	7553	4	0	250	1760012626	2025-10-09 12:23:46
25598								4	70	140	1760295667	2025-10-12 19:01:07
28716	28716	Forsaken	42		11	7390002	8236	4	70	320	1760013026	2025-10-09 12:30:26
32786	32786	Cinderella	41		5	7350002	7620	4	20	270	1760036103	2025-10-09 18:55:03
40998	40998	thirteen	42		5	7350002	8300					
53568	53568	Bonifacio	42		5	7350002	7544	4	70	90	1760294905	2025-10-12 18:48:25
54244	54244	DTRyuF2P	30		9	7370002	2343	4	0	30	1760021726	2025-10-09 14:55:26
62113	62113	Sanatoria	42		1	7310002	7391	4	50	200	1760021804	2025-10-09 14:56:44
63639	63639	eba	42		9	7370002	8017	4	70	300	1760013981	2025-10-09 12:46:21
64449	64449	ACE	42		2	7320002	8084	4	50	70	1760313626	2025-10-13 00:00:26
65742	65742	Ecchika	38		12	7400002	5692	4	50	240	1760021173	2025-10-09 14:46:13
71961	71961	Zaichiki	38		13	7410002	6377	3	10	180	1760015849	2025-10-09 13:17:29
72386	72386	Cutlass	42		2	7320002	8186	4	50	240	1760015047	2025-10-09 13:04:07
104330	104330	Alice	42		1	7310002	8074					
108696	108696	Wakyna	38		9	7370002	6767	4	0	250	1760017278	2025-10-09 13:41:18
122146	122146	Maiki	42		13	7410002	6998					
129581	129581	Frenkyno	42		12	7400002	7848					
153717	153717	Willem	41		1	7310002	7090	4	30	70	1760295006	2025-10-12 18:50:06
172168								4	70	320	1760021254	2025-10-09 14:47:34
209739	209739	Yannix	42		1	7310002	7789	4	70	280	1760021606	2025-10-09 14:53:26
217940	217940	Vanillite	41		2	7320002	6731	4	30	210	1760021829	2025-10-09 14:57:09
220033	220033	VicTim	42		13	7410002	5955	4	50	50	1760362892	2025-10-13 13:41:32
227398	227398	LorTrix	42		11	7390002	8113	4	70	140	1760296114	2025-10-12 19:08:34
232242	232242	IgnaPheonix	41		11	7390002	5910	4	20	140	1760026202	2025-10-09 16:10:02
240574	240574	HangryPanda	42		1	7310002	7793	4	50	300	1760022508	2025-10-09 15:08:28
241771	241771	Allumi	42		1	7310002	6988	4	70	260	1760113658	2025-10-10 16:27:38
242074								4	0	170	1760020692	2025-10-09 14:38:12
246090	246090	Ikaaa	28		12	7400002	2556	4	0	90	1760021050	2025-10-09 14:44:10
254211	254211	twelve	42		4	7340002	8252	4	70	320	1760020174	2025-10-09 14:29:34
256899	256899	Caxavo	41		1	7310002	7476	3	50	260	1760015007	2025-10-09 13:03:27
256917	256917	yune	33		2	7320002	5441	4	0	160	1760017798	2025-10-09 13:49:58
258953	258953	Rowlet	42		5	7350002	7959	4	50	280	1760021778	2025-10-09 14:56:18
262378	262378	Siv	42		12	7400002	7626	2	70	320	1760027137	2025-10-09 16:25:37
267096								4	70	320	1760021397	2025-10-09 14:49:57
272471	272471	Roihu	42		12	7400002	8133	4	20	170	1760145075	2025-10-11 01:11:15
276659	276659	Msam	42		2	7320002	7428	4	40	250	1760020196	2025-10-09 14:29:56
277227	277227	Raa	42		1	7310002	7433	4	50	280	1760024620	2025-10-09 15:43:40
287426	287426	TKPStefan	42		2	7320002	8510	4	70	320	1760016850	2025-10-09 13:34:10
326132	326132	LiterallyKiyan	41		12	7400002	8376	4	70	320	1760020102	2025-10-09 14:28:22
414091	414091	Simo	42		2	7320002	7716	4	50	300	1760033066	2025-10-09 18:04:26
416036	416036	Solteki	41		9	7370002	6652	4	70	300	1760019634	2025-10-09 14:20:34
418748	418748	Mupechito	42		12	7400002	7508	4	40	290	1760022619	2025-10-09 15:10:19
422338	422338	Alaric	42		9	7370002	6641	4	40	230	1760016321	2025-10-09 13:25:21
432965	432965	Colle	34		1	7310002	2503	4	0	0	1760020198	2025-10-09 14:29:58
434449	434449	Easis	41		5	7350002	6986	4	20	60	1760295207	2025-10-12 18:53:27
467527	467527	Volkem	42		2	7320002	6927	4	70	280	1760021410	2025-10-09 14:50:10
481778	481778	Shisori	41		11	7390002	6505	4	40	170	1760022491	2025-10-09 15:08:11
483785	483785	Dev	42		13	7410002	8002	4	50	260	1760026267	2025-10-09 16:11:07
616610	616610	FearnotYuri	42		1	7310002	7701	4	40	210	1760026195	2025-10-09 16:09:55
631677	631677	Nimba	41		4	7340002	7687	4	20	250	1760027639	2025-10-09 16:33:59
639381	639381	Callum	40		5	7350002	5340	2	30	240	1760018617	2025-10-09 14:03:37
649525	649525	Ruby	42		13	7410002	7118	4	50	300	1760024618	2025-10-09 15:43:38
676550	676550	Rein	42		4	7340002	8123	4	40	220	1760113915	2025-10-10 16:31:55
832018	832018	Nozel	42		2	7320002	7791	4	70	110	1760295195	2025-10-12 18:53:15
834551	834551	Bemgi	36		9	7370002	5396	4	0	130	1760020105	2025-10-09 14:28:25
908136	908136	Jaka	40		5	7350002	7316	3	0	230	1760021899	2025-10-09 14:58:19
1026816	1026816	Weelly	42		11	7390002	8602	4	50	260	1760072857	2025-10-10 05:07:37
1250171	1250171	Asuna	42		1	7310002	8266	4	60	60	1760363276	2025-10-13 13:47:56
1450200	1450200	Ayis	38		11	7390002	6521	4	0	250	1760024611	2025-10-09 15:43:31
1647471	1647471	CovertCapybara	35		12	7400002	5749	4	0	190	1760042649	2025-10-09 20:44:09
1649447	1649447	eryu	33		11	7390002	5389	4	0	110	1760120515	2025-10-10 18:21:55
1654820	1654820	Middna	41		2	7320002	5142	4	50	50	1760354629	2025-10-13 11:23:49
1677325	1677325	Pieck	42		12	7400002	7880	4	70	90	1760294632	2025-10-12 18:43:52
1845731								4	70	220	1760113640	2025-10-10 16:27:20
1854103	1854103	Peanuts	42		11	7390002	7821	4	40	80	1760294923	2025-10-12 18:48:43
1884171	1884171	Lun	41		11	7390002	6560	4	0	0	1760307853	2025-10-12 22:24:13
