UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	Class	GearScore	Role	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS	DiscordIsMember	DiscordNameData	DiscordHasRole
10296	10296	Jogi	57		Stormblade	12046	member	420	670	1760808806	2025-10-18 17:33:26	1760033895	2025-10-09 18:18:15	maybe	Schlabommel | Joji|jogi1337	true
11238	11238	Jebou	57		FrostMage	10884	member	250	250	1760697151	2025-10-17 10:32:31	1760568654	2025-10-15 22:50:54	yes	jebou|jebou	true
25598	25598	Alice	57		Stormblade	11374	member	400	470	1760807677	2025-10-18 17:14:37	1760295667	2025-10-12 19:01:07	no		false
32786	32786	Cinderella	57		Verdant Oracle	10539	member	420	670	1760797311	2025-10-18 14:21:51	1760036103	2025-10-09 18:55:03	yes	Cinderella|aloeveraniega	true
41834	41834	xArya	57		Stormblade	12928	member	320	320	1760792302	2025-10-18 12:58:22	1760478183	2025-10-14 21:43:03	maybe	xaryastarks|xaryastarks	true
45776	45776	Crowned	57		Marksman	11395	member	280	280	1760818950	2025-10-18 20:22:30	1760440730	2025-10-14 11:18:50	no		false
53568	53568	Bonifacio	55		Verdant Oracle	10559	member	330	350	1760717145	2025-10-17 16:05:45	1760294905	2025-10-12 18:48:25	yes	Bonifacio|mynard_j_k_	true
62113	62113	Sanatoria	56		Stormblade	9753	member	170	320	1760731786	2025-10-17 20:09:46	1760021804	2025-10-09 14:56:44	no		false
63639	63639	eba	57		HeavyGuardian	11479	member	420	650	1760807173	2025-10-18 17:06:13	1760013981	2025-10-09 12:46:21	yes	eba|ebaboy	true
65742	65742	Ecchika	53		AegisKnight	9140	member	320	510	1760791662	2025-10-18 12:47:42	1760021173	2025-10-09 14:46:13	no		false
67870	67870	Rothkal	55		HeavyGuardian	8744	member	40	40	1760786675	2025-10-18 11:24:35	1760709616	2025-10-17 14:00:16	yes	rothkal|rothkal	true
68605	68605	Tenssen	56		Stormblade	9939	member	170	170	1760804116	2025-10-18 16:15:16	1760484635	2025-10-14 23:30:35	yes	tenssen|tenssen	true
71961	71961	Zaichiki	57		FrostMage	11509	administrator	340	510	1760818358	2025-10-18 20:12:38	1760015849	2025-10-09 13:17:29	yes	Zaichiki|bunnyfoot	true
72386	72386	Cutlass	56		FrostMage	11222	member	350	540	1760806365	2025-10-18 16:52:45	1760015047	2025-10-09 13:04:07	yes	Cutlass|cutlass.	true
153717	153717	Willem	46		Stormblade	6591	member	100	140	1760790470	2025-10-18 12:27:50	1760295006	2025-10-12 18:50:06	maybe	willem_13|willem_13	true
